Title;Source;DOI;Year Published;WOS Number
Saltmarsh deposition and its relationship to coastal forcing over the last century on the north-west coast of Ireland;GEOLOGIE EN MIJNBOUW-NETHERLANDS JOURNAL OF GEOSCIENCES;;1999;WOS:000081411900008
Contemporary process controls on the evolution of sedimentary coasts under low to high energy regimes: western Ireland;GEOLOGIE EN MIJNBOUW-NETHERLANDS JOURNAL OF GEOSCIENCES;;1999;WOS:000081411900011
Import, mortality and accumulation of coastal phytoplankton in a partially mixed estuary (Kinsale harbour, Ireland);HYDROBIOLOGIA;10.1023/A:1003848216127;1999;WOS:000084827100007
Toxic algae and fish mortality in a brackish-water lake in angstrom land, SW Finland;HYDROBIOLOGIA;10.1023/A:1003667728458;1999;WOS:000082656300011
Trends in plutonium, americium and radiocaesium accumulation and long-term bioavailability in the western Irish Sea mud basin;JOURNAL OF ENVIRONMENTAL RADIOACTIVITY;10.1016/S0265-931X(98)00135-0;1999;WOS:000079627700005
Plutonium and americium in fish, shellfish and seaweed in the Irish environment and their contribution to dose;JOURNAL OF ENVIRONMENTAL RADIOACTIVITY;10.1016/S0265-931X(98)00140-4;1999;WOS:000079627700010
Po-210 in Mytilus edulis in the Irish marine environment;JOURNAL OF ENVIRONMENTAL RADIOACTIVITY;10.1016/S0265-931X(98)00062-9;1999;WOS:000078819100006
Verification of cyprid size as a tool in the identification of two European species of Chthamalus barnacles using mtDNA-RFLP analysis;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps191251;1999;WOS:000085094900023
Ecology of tropical hermit crabs at Quirimba Island, Mozambique: shell characteristics and utilisation;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps183241;1999;WOS:000081803500022
Quantitative evidence for assortative schooling in a coral reef fish;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps176017;1999;WOS:000078918200003
