Title;Source;DOI;Year Published;WOS Number
THE EUFAR TRANSNATIONAL ACCESS PROJECT A.NEW (AIRBORNE OBSERVATIONS OF NONLINEAR EVOLUTION OF INTERNAL WAVES GENERATED BY INTERNAL TIDAL BEAMS);IEEE International Symposium on Geoscience and Remote Sensing IGARSS;10.1109/IGARSS.2012.6351868;2012;WOS:000313189407134
The effects of subsampling and between-haul variation on the size-selectivity estimation of Chilean hake (Merluccius gayi gayi);LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH;10.3856/vol40-issue2-fulltext-9;2012;WOS:000314513500009
Seasonal and diurnal water quality and ecological dynamics along a salinity gradient (Mira channel, Aveiro lagoon, Portugal);Procedia Environmental Sciences;10.1016/j.proenv.2012.01.084;2012;WOS:000312386000082
Automated Traffic Route Identification through the Shared Nearest Neighbour Algorithm;Lecture Notes in Geoinformation and Cartography;10.1007/978-3-642-29063-3_13;2012;WOS:000313200500013
Site-specific distribution of the bivalve Scrobicularia plana along the European coast;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps10017;2012;WOS:000312782700011
Surface signature of Mediterranean water eddies in the Northeastern Atlantic: effect of the upper ocean stratification;OCEAN SCIENCE;10.5194/os-8-931-2012;2012;WOS:000312698600001
Architecture and methods for UAV-based heterogeneous sensor network applications;Proceedings of SPIE;10.1117/12.970569;2012;WOS:000312874500009
Sensor Networks and GIS for Water Quality and Anthropogenic Factors Assessment in Estuaries;2012 WORLD AUTOMATION CONGRESS (WAC);;2012;WOS:000310335802017
Colour morphotypes of Elysia timida (Sacoglossa, Gastropoda) are determined by light acclimation in food algae;AQUATIC BIOLOGY;10.3354/ab00446;2012;WOS:000310151500009
Position and Velocity Filters for Intervention AUVs based on Single Range and Depth Measurements;IEEE International Conference on Robotics and Automation ICRA;;2012;WOS:000309406704137
In situ determination of the remote sensing reflectance: an inter-comparison;OCEAN SCIENCE;10.5194/os-8-567-2012;2012;WOS:000309616400012
Plasticity of European flounder life history patterns discloses alternatives to catadromy;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09910;2012;WOS:000309366300022
Reproduction in Octocorallia: Synchronous spawning and asynchronous oogenesis in the pennatulid Veretillum cynomorium;MARINE BIOLOGY RESEARCH;10.1080/17451000.2012.693616;2012;WOS:000308101200010
Environmental determinants of latitudinal size-trends in cephalopods;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09822;2012;WOS:000309125500010
Impact of climate change on coastal versus estuarine nursery areas: cellular and whole-animal indicators in juvenile seabass Dicentrarchus labrax;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09885;2012;WOS:000309125500016
Exploring a new jellyfish collagen in the production of microparticles for protein delivery;JOURNAL OF MICROENCAPSULATION;10.3109/02652048.2012.665089;2012;WOS:000307999000002
Simulations of wave conditions on an open beach configuration: wind resolution, seaward forcing and whitecapping effects;EUROPEAN JOURNAL OF ENVIRONMENTAL AND CIVIL ENGINEERING;10.1080/19648189.2012.676417;2012;WOS:000308300400004
Validation of a Dynamic Energy Budget (DEB) model for the blue mussel Mytilus edulis;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09801;2012;WOS:000308357300009
Moving to the sea: a challenge for an inshore species, the slender-billed gull;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09861;2012;WOS:000308357300019
Risks and benefits' consumption of birdbeak dogfish Deania calcea;BRITISH FOOD JOURNAL;10.1108/00070701211234354;2012;WOS:000307617300005
Isolation by distance and low connectivity in the peppery furrow shell Scrobicularia plana (Bivalvia);MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09834;2012;WOS:000307723300010
Use of satellite remote sensing for coastal conservation in the Eastern African Coast: advantages and shortcomings;EUROPEAN JOURNAL OF REMOTE SENSING;10.5721/EuJRS20124526;2012;WOS:000307004800008
Macrobenthic community response to the Marenzelleria viridis (Polychaeta) invasion of a Danish estuary;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09821;2012;WOS:000307354700007
Patterns of Diversity of the Rissoidae (Mollusca: Gastropoda) in the Atlantic and the Mediterranean Region;SCIENTIFIC WORLD JOURNAL;10.1100/2012/164890;2012;WOS:000307062700001
The invasive mussel Xenostrobus securis along the Galician Rias Baixas (NW of Spain): status of invasion;CAHIERS DE BIOLOGIE MARINE;;2012;WOS:000306634500012
Macrobioerosion of dead branching Porites, 4 and 6 years after coral mass mortality;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09726;2012;WOS:000305966400007
Reproductive cycle of Bolinus brandaris (Gastropoda: Muricidae) in the Ria Formosa lagoon (southern Portugal);AQUATIC BIOLOGY;10.3354/ab00434;2012;WOS:000305698600005
Ocean exergy and energy conversion systems;INTERNATIONAL JOURNAL OF EXERGY;10.1504/IJEX.2012.047507;2012;WOS:000305742300006
Identification of Proteins with Potential Osteogenic Activity Present in the Water-Soluble Matrix Proteins from Crassostrea gigas Nacre Using a Proteomic Approach;SCIENTIFIC WORLD JOURNAL;10.1100/2012/765909;2012;WOS:000305425200001
Detection and sub-cellular distribution of the amnesic shellfish toxin, domoic acid, in the digestive gland of Octopus vulgaris during periods of toxin absence;MARINE BIOLOGY RESEARCH;10.1080/17451000.2012.659668;2012;WOS:000304676800011
Tolerance of juvenile Mytilus galloprovincialis to experimental seawater acidification;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09660;2012;WOS:000304605500005
Recent high-energy marine events in the sediments of Lagoa de Obidos and Martinhal (Portugal): recognition, age and likely causes;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;10.5194/nhess-12-1367-2012;2012;WOS:000304061800011
Otolith geochemistry discriminates among estuarine nursery areas of Solea solea and S. senegalensis over time;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09621;2012;WOS:000303213900015
Feeding ecology and movements of the Barolo shearwater Puffinus baroli baroli in the Azores, NE Atlantic;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09670;2012;WOS:000303213900020
Potential rates and environmental controls of anaerobic ammonium oxidation in estuarine sediments;AQUATIC MICROBIAL ECOLOGY;10.3354/ame01548;2012;WOS:000302359100003
Vestiges, rudiments and fusion events: the zebrafish caudal fin endoskeleton in an evo-devo perspective;EVOLUTION & DEVELOPMENT;10.1111/j.1525-142X.2011.00526.x;2012;WOS:000302540800012
Can biogeochemistry aid in the palaeoenvironmental/early diagenesis reconstruction of the similar to 187 Ma (Pliensbachian) organic-rich hemipelagic series of the Lusitanian Basin (Portugal)?;BULLETIN OF GEOSCIENCES;10.3140/bull.geosci.1315;2012;WOS:000302138700012
Morphology and distribution of a little known but widespread diatom (Bacillariophyceae), Navicula spartinetensis Sullivan et Reimer;DIATOM RESEARCH;10.1080/0269249X.2011.647772;2012;WOS:000301922000004
Additional records of Beryx splendens (Osteichthyes: Berycidae) from the Mediterranean Sea, with notes on molecular phylogeny and parasites;ITALIAN JOURNAL OF ZOOLOGY;10.1080/11250003.2011.602647;2012;WOS:000302150200016
Appraisal of the usefulness of operculum growth marks for ageing Hexaplex trunculus (Gastropoda: Muricidae): Comparison between surface striae and adventitious layers;MARINE BIOLOGY RESEARCH;10.1080/17451000.2011.616896;2012;WOS:000302437000004
